movie_odid,display_name,billing,person_odid,person,character,type,role,person_name,DOB,DOB_source,Gender,Gender_source,race_final,race_source,race_scores_fair,in_actorlist,in_directorlist,Race_present,DOB_present,Gender_present,total_people,dob_coverage,gender_coverage,race_coverage
10100,Titanic,1,39750401,Leonardo DiCaprio,Jack Dawson,Leading,,Leonardo DiCaprio,1974-11-11,TMDB,Male,TMDB,White,Wikipedia,"[0.5519263744354248, 0.0022383960895240307, 0.4149550497531891, 0.001488292240537703, 0.002279921667650342, 0.00864520575851202, 0.018466753885149956]",True,False,True,True,True,5,1.0,1.0,1.0
10100,Titanic,2,840401,Kate Winslet,Rose DeWitt Bukater,Leading,,Kate Winslet,1975-10-05,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.99986732006073, 3.58790828158817e-08, 3.43966057698708e-05, 6.935550572961802e-06, 2.6665234145184513e-06, 8.808973461782443e-07, 8.781612996244803e-05]",True,False,True,True,True,5,1.0,1.0,1.0
10100,Titanic,4,190420401,Jon Landau,,,Producer,Jon Landau,1960-07-23,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.6419616341590881, 0.0014556554378941655, 0.3023461103439331, 0.0005227683577686548, 0.0007805381319485605, 0.02749629318714142, 0.025437092408537865]",False,True,True,True,True,5,1.0,1.0,1.0
10100,Titanic,2,23100401,James Cameron,,,Producer,James Cameron,1954-08-16,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9989583492279053, 7.847458505239047e-07, 5.771115320385434e-05, 2.611786158013274e-06, 2.8342451514618006e-06, 1.6153302567545325e-05, 0.0009613793808966875]",False,True,True,True,True,5,1.0,1.0,1.0
10100,Titanic,1,23100401,James Cameron,,,Director,James Cameron,1954-08-16,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9989583492279053, 7.847458505239047e-07, 5.771115320385434e-05, 2.611786158013274e-06, 2.8342451514618006e-06, 1.6153302567545325e-05, 0.0009613793808966875]",False,True,True,True,True,5,1.0,1.0,1.0
20100,The Dark Knight,1,106410401,Christopher Nolan,,,Director,Christopher Nolan,1970-07-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9958711266517639, 1.6552222632526536e-06, 0.00027007609605789185, 5.128248176333727e-06, 5.246567525318824e-06, 2.68203548330348e-05, 0.0038199254777282476]",False,True,True,True,True,6,1.0,1.0,1.0
20100,The Dark Knight,4,106410401,Christopher Nolan,,,Producer,Christopher Nolan,1970-07-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9958711266517639, 1.6552222632526536e-06, 0.00027007609605789185, 5.128248176333727e-06, 5.246567525318824e-06, 2.68203548330348e-05, 0.0038199254777282476]",False,True,True,True,True,6,1.0,1.0,1.0
20100,The Dark Knight,2,203230401,Emma Thomas,,,Producer,Emma Thomas,1971-12-09,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9998739957809448, 1.649048613217019e-07, 7.004110375419259e-05, 4.2814815515157534e-07, 8.122647159325425e-07, 5.979924480925547e-06, 4.8546695325057954e-05]",False,True,True,True,True,6,1.0,1.0,1.0
20100,The Dark Knight,3,203240401,Charles Roven,,,Producer,Charles Roven,1949-08-02,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9777015447616577, 1.992965735553298e-05, 0.0010739112040027976, 8.253275154856965e-05, 6.38590136077255e-05, 0.00018229843408335, 0.020875949412584305]",False,True,True,True,True,6,1.0,1.0,1.0
20100,The Dark Knight,1,9490401,Christian Bale,Bruce Wayne,Leading,,Christian Bale,1974-01-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9845028519630432, 3.573175854398869e-05, 0.00819698628038168, 2.9624645321746357e-05, 3.606998870964162e-05, 0.0001101447269320488, 0.007088639307767153]",True,False,True,True,True,6,1.0,1.0,1.0
20100,The Dark Knight,3,83480401,Heath Ledger,Joker,Leading,,Heath Ledger,1979-04-04,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.8000125288963318, 0.0007203573477454484, 0.09853428602218628, 0.00018136424478143454, 0.0002080515696434304, 0.0001496465556556359, 0.10019372403621674]",True,False,True,True,True,6,1.0,1.0,1.0
30100,Star Wars Ep. IV: A New Hope,2,600401,Harrison Ford,Han Solo,Leading,,Harrison Ford,,Unknown,,Unknown,,,,True,False,False,False,False,5,0.0,0.0,0.0
30100,Star Wars Ep. IV: A New Hope,2,203280401,Gary Kurtz,,,Producer,Gary Kurtz,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.0,0.0,0.0
30100,Star Wars Ep. IV: A New Hope,1,88340401,George Lucas,,,Director,George Lucas,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.0,0.0,0.0
30100,Star Wars Ep. IV: A New Hope,1,60740401,Mark Hamill,Luke Skywalker,Leading,,Mark Hamill,,Unknown,,Unknown,,,,True,False,False,False,False,5,0.0,0.0,0.0
30100,Star Wars Ep. IV: A New Hope,3,48440401,Carrie Fisher,Princess Leia Organa,Leading,,Carrie Fisher,,Unknown,,Unknown,,,,True,False,False,False,False,5,0.0,0.0,0.0
40100,Shrek 2,4,203350401,Aron Warner,,,Producer,Aron Warner,1961-03-25,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9226744174957275, 4.274806997273117e-05, 0.0022392524406313896, 0.0008643401088193059, 0.0007858731551095843, 0.0008921072585508227, 0.07250125706195831]",False,True,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,1,146710401,Conrad Vernon,,,Director,Conrad Vernon,1968-07-11,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9965621829032898, 1.0238630238745827e-05, 0.0008719587931409478, 7.24897108739242e-06, 7.663993528694846e-06, 2.1903695596847683e-05, 0.002518764231353998]",False,True,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,6,203360401,John H. Williams,,,Producer,John H. Williams,1953-06-17,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9924926161766052, 2.0032555312354816e-06, 0.003019531723111868, 2.330166353203822e-06, 3.322669499539188e-06, 7.707985787419602e-05, 0.004403241444379091]",False,True,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,3,2460401,Andrew Adamson,,,Director,Andrew Adamson,1966-12-01,Wiki_document,Male,Wiki_document,White,Wikipedia,,False,True,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,2,6860401,Kelly Asbury,,,Director,Kelly Asbury,1960-01-15,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9901444911956787, 0.00027991915703751147, 0.006836249027401209, 0.00013209461758378893, 0.00012363556015770882, 0.00017537418170832098, 0.0023083211854100227]",False,True,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,5,86260401,David Lipman,,,Producer,David Lipman,,Unknown,Male,TMDB,,,,False,True,False,False,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,1,104060401,Mike Myers,Shrek,Leading,,Mike Myers,1963-05-25,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9545515775680542, 2.1892481527174823e-05, 0.025352759286761284, 0.0006190208368934691, 0.0005422377726063132, 0.0003845613682642579, 0.018527977168560028]",True,False,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,2,700401,Eddie Murphy,Donkey,Leading,,Eddie Murphy,1961-04-03,TMDB,Male,TMDB,Black,TMDB_Image_FairfaceModel,"[1.1808117506006965e-06, 0.9998366832733154, 4.195556175545789e-05, 1.8390026923498226e-07, 3.4194781619589776e-06, 0.00010975894838338718, 6.708498858642997e-06]",True,False,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
40100,Shrek 2,3,590401,Cameron Diaz,Princess Fiona,Leading,,Cameron Diaz,1972-08-30,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9999855756759644, 5.116382872927261e-10, 1.9322503703733673e-06, 2.28914629474275e-08, 4.0244490406848854e-08, 4.254193086694613e-08, 1.2558971320686396e-05]",True,False,True,True,True,9,0.8888888888888888,1.0,0.8888888888888888
50100,ET: The Extra-Terrestrial,3,189790401,Kathleen Kennedy,,,Producer,Kathleen Kennedy,,Unknown,,Unknown,,,,False,True,False,False,False,4,0.75,0.75,0.75
50100,ET: The Extra-Terrestrial,2,135430401,Steven Spielberg,,,Producer,Steven Spielberg,1946-12-18,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9816393852233887, 6.206834950717166e-05, 0.002256237668916583, 7.757115236017853e-05, 0.00016134594625327736, 0.0010078574996441603, 0.014795506373047829]",False,True,True,True,True,4,0.75,0.75,0.75
50100,ET: The Extra-Terrestrial,1,135430401,Steven Spielberg,,,Director,Steven Spielberg,1946-12-18,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9816393852233887, 6.206834950717166e-05, 0.002256237668916583, 7.757115236017853e-05, 0.00016134594625327736, 0.0010078574996441603, 0.014795506373047829]",False,True,True,True,True,4,0.75,0.75,0.75
50100,ET: The Extra-Terrestrial,3,141560401,Henry Thomas,Elliot,Leading,,Henry Thomas,1971-09-09,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9998235106468201, 1.658249715319471e-08, 2.6023264581453986e-05, 2.108541775669437e-05, 8.871381396602374e-06, 7.17208820333326e-07, 0.00011986089521087706]",True,False,True,True,True,4,0.75,0.75,0.75
60100,Star Wars Ep. I: The Phantom Menace,1,710401,Liam Neeson,Qui-Gon Jinn,Leading,,Liam Neeson,1952-06-07,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9907447695732117, 4.3117054815411393e-07, 0.00026221555890515447, 2.1175357687752694e-05, 2.1607176677207462e-05, 4.27464437962044e-05, 0.008907086215913296]",True,False,True,True,True,6,0.5,0.5,0.5
60100,Star Wars Ep. I: The Phantom Menace,2,1290401,Ewan McGregor,Obi-Wan Kenobi,Leading,,Ewan McGregor,1971-03-31,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9999595880508423, 3.91751235895299e-08, 1.257038729818305e-05, 8.107809321700188e-07, 1.6157985101017402e-06, 5.583911502071714e-07, 2.4796756406431086e-05]",True,False,True,True,True,6,0.5,0.5,0.5
60100,Star Wars Ep. I: The Phantom Menace,3,203590401,Rick McCallum,,,Producer,Rick McCallum,,Unknown,,Unknown,,,,False,True,False,False,False,6,0.5,0.5,0.5
60100,Star Wars Ep. I: The Phantom Menace,4,86720401,Jake Lloyd,Anakin Skywalker,Leading,,Jake Lloyd,,Unknown,,Unknown,,,,True,False,False,False,False,6,0.5,0.5,0.5
60100,Star Wars Ep. I: The Phantom Menace,3,115800401,Natalie Portman,Queen Amidala Padme Naberrie,Leading,,Natalie Portman,1981-06-09,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9760515689849854, 6.290528290264774e-06, 0.017943140119314194, 2.2015563445165753e-05, 2.2167823772178963e-05, 0.0005332321161404252, 0.005421479698270559]",True,False,True,True,True,6,0.5,0.5,0.5
60100,Star Wars Ep. I: The Phantom Menace,1,88340401,George Lucas,,,Director,George Lucas,,Unknown,,Unknown,,,,False,True,False,False,False,6,0.5,0.5,0.5
70100,Pirates of the Caribbean: Dead Man’s Chest,1,146540401,Gore Verbinski,,,Director,Gore Verbinski,1964-03-16,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.996317982673645, 3.0192846679710783e-05, 0.00204952759668231, 0.000415713875554502, 0.00039346329867839813, 0.00025669598835520446, 0.0005364807439036667]",False,True,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,6,203650401,Jerry Bruckheimer,,,Producer,Jerry Bruckheimer,1943-09-21,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9995299577713013, 3.7377933637117167e-08, 5.456792223412776e-06, 4.5505280468205456e-06, 1.7445811408833833e-06, 4.177322807663586e-07, 0.0004578092775773257]",False,True,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,1,580401,Johnny Depp,Captain Jack Sparrow,Leading,,Johnny Depp,1963-06-09,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.27486318349838257, 0.0017716025467962027, 0.6487720012664795, 0.0005384556716307998, 0.004720717668533325, 0.045134156942367554, 0.024199917912483215]",True,False,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,2,15940401,Orlando Bloom,Will Turner,Leading,,Orlando Bloom,1977-01-13,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.956578254699707, 5.6428907555527985e-05, 0.019784949719905853, 5.802615123684518e-05, 0.00011529064795468003, 0.0006095400312915444, 0.022797439247369766]",True,False,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,3,78970401,Keira Knightley,Elizabeth Swann,Leading,,Keira Knightley,1985-03-26,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.975827693939209, 2.5967749479605118e-06, 0.0037458629813045263, 0.00023180556308943778, 7.137958891689777e-05, 0.00014428922440856695, 0.01997637376189232]",True,False,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,5,106110401,Bill Nighy,Davy Jones,Leading,,Bill Nighy,1949-12-12,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9967381358146667, 9.993792673412827e-07, 0.0003802402934525162, 0.00037864575278945267, 0.0002807330747600645, 2.8706301236525178e-05, 0.0021924609318375587]",True,False,True,True,True,6,1.0,1.0,1.0
80100,Spider-Man,3,203800401,Ian Bryce,,,Producer,Ian Bryce,1956-11-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9934713840484619, 3.521183771226788e-06, 0.00012268188584130257, 6.72577298246324e-05, 3.855607064906508e-05, 2.883475463022478e-05, 0.006267752964049578]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,1,117920401,Sam Raimi,,,Director,Sam Raimi,1959-10-23,TMDB,Male,TMDB,White,Wikipedia,"[0.45042186975479126, 0.00020414311438798904, 0.20552679896354675, 0.03565177321434021, 0.007614469155669212, 0.0023878642823547125, 0.29819315671920776]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,2,203790401,Laura Ziskin,,,Producer,Laura Ziskin,1950-03-03,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9840459823608398, 1.663848365751619e-06, 0.0027743084356188774, 3.256360287196003e-05, 2.343071719224099e-05, 1.7569996998645365e-05, 0.013104423880577087]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,1,90320401,Tobey Maguire,Spider-Man/Peter Parker,Leading,,Tobey Maguire,1975-06-27,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.996112048625946, 1.2545633580884896e-06, 0.0017893885960802436, 2.203408075729385e-05, 3.746729635167867e-05, 0.00027925806352868676, 0.0017584265442565084]",True,False,True,True,True,4,1.0,1.0,1.0
90100,Transformers: Revenge of the Fallen,2,50340401,Megan Fox,Mikaela Banes,Leading,,Megan Fox,1986-05-16,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.03842921182513237, 0.0019749398343265057, 0.6161289811134338, 0.0005007425788789988, 0.0007646700250916183, 0.28386420011520386, 0.0583372563123703]",True,False,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,8,188320401,Lorenzo di Bonaventura,,,Producer,Lorenzo di Bonaventura,1957-01-13,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9960266351699829, 2.153050900233211e-06, 0.002025122055783868, 0.00013686147576663643, 0.0001246945175807923, 3.783592183026485e-05, 0.0016466560773551464]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,6,204370401,Tom DeSanto,,,Producer,Tom DeSanto,,Unknown,,Unknown,,,,False,True,False,False,False,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,5,204380401,Don Murphy,,,Producer,Don Murphy,1970-01-01,Wiki_document,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9969520568847656, 1.533035629108781e-06, 0.000989890075288713, 4.0529193938709795e-05, 2.7053780286223628e-05, 3.9310175452555995e-06, 0.001984956441447139]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,1,11530401,Michael Bay,,,Director,Michael Bay,1965-02-17,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9993884563446045, 4.2996970250896993e-07, 0.00018379863467998803, 1.5166439879976679e-05, 2.9008846468059346e-05, 1.474310101912124e-05, 0.00036839712993241847]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,7,203800401,Ian Bryce,,,Producer,Ian Bryce,1956-11-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9934713840484619, 3.521183771226788e-06, 0.00012268188584130257, 6.72577298246324e-05, 3.855607064906508e-05, 2.883475463022478e-05, 0.006267752964049578]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,1,80850401,Shia LaBeouf,Sam Witwicky,Leading,,Shia LaBeouf,1986-06-11,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9032259583473206, 0.00023644878820050508, 0.05812787264585495, 0.0003962423943448812, 0.00045573589159175754, 0.0012235497124493122, 0.036334168165922165]",True,False,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
100100,Star Wars Ep. III: Revenge of the Sith,1,88340401,George Lucas,,,Director,George Lucas,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,2,115800401,Natalie Portman,Padmé Amidala,Leading,,Natalie Portman,1981-06-09,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9760515689849854, 6.290528290264774e-06, 0.017943140119314194, 2.2015563445165753e-05, 2.2167823772178963e-05, 0.0005332321161404252, 0.005421479698270559]",True,False,True,True,True,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,3,203590401,Rick McCallum,,,Producer,Rick McCallum,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,1,1290401,Ewan McGregor,"Obi-Wan ""Ben"" Kenobi",Leading,,Ewan McGregor,1971-03-31,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9999595880508423, 3.91751235895299e-08, 1.257038729818305e-05, 8.107809321700188e-07, 1.6157985101017402e-06, 5.583911502071714e-07, 2.4796756406431086e-05]",True,False,True,True,True,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,3,28330401,Hayden Christensen,Anakin Skywalker/Darth Vader,Leading,,Hayden Christensen,1981-04-19,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9980192184448242, 1.2312929129620898e-06, 0.00035554106580093503, 1.4717412341269664e-05, 8.928094757720828e-06, 9.500440683041234e-07, 0.0015995221910998225]",True,False,True,True,True,5,0.6,0.6,0.6
307900100,Titanic,1,1400210401,Herbert Selpin,,,Director,Herbert Selpin,1902-05-29,TMDB,Male,TMDB,White,Wikipedia,"[0.2500323951244354, 0.003718231339007616, 0.2720121741294861, 0.002579626627266407, 0.005582386627793312, 0.060412775725126266, 0.4056623876094818]",False,True,True,True,True,1,1.0,1.0,1.0
